,3-Carene,CBDA,CBG,Camphene,CaryophylleneOxide,D-Limonene,Eucalyptol,Geraniol,Guaiol,Isopulegol,Label,Linalool,Myrcene,Nerolidol-1,Nerolidol-2,Ocimene,THCA,Terpinolene,TotalCBD,p-Cymene,Δ9-THC,α-Bisabolol,α-Humelene,α-Pinene,α-Terpinene,β-Caryophyllene,β-Pinene,γ-Terpinene
212,0.0,0.0,0.98,0.0,0.0,1.74,0.0,0.0,0.0,0.0,1.0,0.0,0.62,0.0,0.0,0.0,199.0,0.0,0.0,0.0,0.86,0.0,1.45,0.0,0.0,5.45,0.0,0.0
216,0.0,0.0,0.89,0.0,0.0,1.41,0.0,0.0,0.0,0.0,1.0,0.0,4.01,0.0,0.0,0.0,212.0,9.27,0.0,0.0,13.9,0.0,0.0,0.0,0.0,1.25,0.69,0.0
219,0.0,0.0,1.06,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,1.55,0.0,0.0,0.0,198.0,2.9,2.27,0.0,1.05,0.0,0.54,0.0,0.0,1.89,0.0,0.0
220,0.0,0.0,2.36,0.0,0.0,4.11,0.0,0.0,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,1.52,0.69,0.0
221,0.0,0.0,0.85,0.0,0.0,1.14,0.0,0.0,0.87,0.0,1.0,0.0,4.89,0.0,0.0,0.0,231.0,0.0,0.0,0.0,5.68,0.69,1.59,0.0,0.0,5.65,0.0,0.0
222,0.0,0.0,0.77,0.0,0.0,1.04,0.0,0.0,0.67,0.0,1.0,0.0,1.73,0.0,0.0,0.0,210.0,6.43,2.98,0.0,3.63,0.0,1.06,0.0,0.0,2.96,0.65,0.0
227,0.0,127.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,40.0,0.0,127.79,0.0,4.55,0.0,0.0,3.15,0.0,1.35,1.1,0.0
230,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,1.0,0.0,1.77,0.0,0.0,0.0,205.0,0.0,0.0,0.0,1.01,0.0,1.6,0.0,0.0,5.97,0.0,0.0
233,0.0,0.0,1.09,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.0,0.0,1.76,0.0,0.0,0.0,185.0,4.29,3.57,0.0,2.98,0.0,0.86,0.0,0.0,3.66,0.53,0.0
235,0.0,0.0,1.7,0.0,0.0,3.52,0.0,0.0,0.0,0.0,1.0,1.61,0.95,0.0,0.0,0.0,248.0,0.0,0.0,0.0,8.24,0.0,0.96,0.0,0.0,2.86,0.57,0.0
239,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,0.0,0.0,173.0,0.0,0.0,0.0,6.94,0.0,0.0,1.23,0.0,1.16,0.0,0.0
242,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.47,0.0,0.0,0.0,5.0,0.0,112.25,0.0,0.0,0.0,0.83,1.45,0.0,2.11,0.54,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.54,11.03,0.0,0.37,0.0,140.0,0.0,0.0,0.0,19.2,0.0,2.34,2.17,0.0,6.58,0.54,0.0
245,0.0,0.0,1.44,0.0,0.0,4.58,0.0,0.0,0.0,0.0,1.0,2.61,7.42,0.0,0.0,0.0,252.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,1.11,0.67,0.0
251,0.0,0.0,1.06,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0,1.74,2.71,0.0,0.38,0.0,250.0,0.0,0.0,0.0,2.29,0.0,1.03,0.0,0.0,3.98,0.0,0.0
